Americanize Americanized Americanizing Americanizes
mew mewed mewing mews
mewl mewled mewling mewls
miaou miaoued miaouing miaous
miaow miaowed miaowing miaows
microfilm microfilmed microfilming microfilms
micromanage micromanaged micromanaging micromanages
microwave microwaved microwaving microwaves
micturate micturated micturating micturates
middle middled middling middles
miff miffed miffing miffs
migrate migrated migrating migrates
mike miked miking mikes
mildew mildewed mildewing mildews
militarize militarized militarizing militarizes
militate militated militating militates
milk milked milking milks
mill milled milling mills,
milt milted milting milts
mime mimed miming mimes
mimeo mimeoed mimeoing mimeos
mimeograph mimeographed mimeographing mimeographs
mimic mimicked mimicking mimics
mince minced mincing minces
mind minded minding minds
mine mined mining mines
mingle mingled mingling mingles
miniaturise miniaturised miniaturising miniaturises
miniaturize miniaturized miniaturizing miniaturizes
minify minified minifying minifies
minimize minimized minimizing minimizes
minister ministered ministering ministers
minor minored minoring minors
mint minted minting mints
minute minuted minuting minutes
mire mired miring mires
mirror mirrored mirroring mirrors
misaddress misaddressed misaddressing misaddresses
misadvise misadvised misadvising misadvises
misally misallied misallying misallies
misapply misapplied misapplying misapplies
misapprehend misapprehended misapprehending misapprehends
misappropriate misappropriated misappropriating misappropriates
misbehave misbehaved misbehaving misbehaves
misbelieve misbelieved misbelieving misbelieves
miscalculate miscalculated miscalculating miscalculates
miscall miscalled miscalling miscalls
miscarry miscarried miscarrying miscarries
miscegenate miscegenated miscegenating miscegenates
misconceive misconceived misconceiving misconceives
misconduct misconducted misconducting misconducts
misconstrue misconstrued misconstruing misconstrues
miscount miscounted miscounting miscounts
miscue miscued miscuing, 2
misdate misdated misdating misdates
misdeal misdealt misdealing misdeals
misdemean misdemeaned misdemeaning misdemeans
misdiagnose misdiagnosed misdiagnosing misdiagnoses
misdirect misdirected misdirecting misdirects
misdo misdid misdone misdoing
misfile misfiled misfiling misfiles
misfire misfired misfiring misfires
misfunction misfunctioned misfunctioning misfunctions
misgauge misgauged misgauging misgauges
misgovern misgoverned misgoverning misgoverns
misguide misguided misguiding misguides
mishandle mishandled mishandling mishandles
mishear misheard mishearing mishears
misidentify misidentified misidentifying misidentifies
misinform misinformed misinforming misinforms
misinterpret misinterpreted misinterpreting misinterprets
misjudge misjudged misjudging misjudges
mislay mislaid mislaying mislays
mislead misled misleading misleads
mismanage mismanaged mismanaging mismanages
mismarry mismarried mismarrying mismarries
mismatch mismatched mismatching mismatches
mismate mismated mismating mismates
misname misnamed misnaming misnames
misperceive misperceived misperceiving misperceives
misplace misplaced misplacing misplaces
misplay misplayed misplaying misplays
misprint misprinted misprinting misprints
mispronounce mispronounced mispronouncing mispronounces
misquote misquoted misquoting misquotes
misread misread misreading misreads
misremember misremembered misremembering misremembers
misreport misreported misreporting misreports
misrepresent misrepresented misrepresenting misrepresents
misrule misruled misruling misrules
miss missed missing misses
missing missang missung missinging
misspeak misspoke misspoken, 2
misspend misspent misspending misspends
misstate misstated misstating misstates
mist misted misting mists
mistake mistook mistaken mistaking
mister mistered mistering misters
mistime mistimed mistiming mistimes
mistranslate mistranslated mistranslating mistranslates
mistreat mistreated mistreating mistreats
mistrust mistrusted mistrusting mistrusts
misunderstand misunderstood misunderstanding misunderstands
misuse misused misusing misuses
miter mitered mitering miters
mitigate mitigated mitigating mitigates
mitre mitred mitring mitres
mix mixed, 2 mixing
mizzle mizzled mizzling mizzles
moan moaned moaning moans
mob mobbed mobbing mobs
mobilize mobilized mobilizing mobilizes
mock mocked mocking mocks
modem modemed modeming modems
moderate moderated moderating moderates
modernize modernized modernizing modernizes
modify modified modifying modifies
modulate modulated modulating modulates
moil moiled moiling moils
moisten moistened moistening moistens
moisturize moisturized moisturizing moisturizes
mold molded molding molds
molder moldered moldering molders
molest molested molesting molests
mollify mollified mollifying mollifies
mollycoddle mollycoddled mollycoddling mollycoddles
molt molted molting molts
monetize monetized monetizing monetizes
monger mongered mongering mongers
mongrelize mongrelized mongrelizing mongrelizes
monitor monitored monitoring monitors
monkey monkeyed monkeying monkeys
monograph monographed monographing monographs
monopolize monopolized monopolizing monopolizes
montage montaged montaging montages
monument monumented monumenting monuments
monumentalize monumentalized monumentalizing monumentalizes
moo mooed mooing moos
mooch mooched mooching mooches
moon mooned mooning moons
moonlight moonlighted, 2 moonlighting
moonwalk moonwalked moonwalking moonwalks
moor moored mooring moors
moot mooted mooting moots
mope moped moping mopes
moralise moralised moralising moralises
moralize moralized moralizing moralizes
mordant mordanted mordanting mordants
morph morphed morphing morphs
mortar mortared mortaring mortars
mortgage mortgaged mortgaging mortgages
mortice morticed morticing mortices
mortify mortified mortifying mortifies
mortise mortised mortising mortises
mosaic mosaicked mosaicking mosaics
mosey moseyed moseying moseys
mosh moshed moshing moshes
moss mossed mossing mosses
mothball mothballed mothballing mothballs
mother mothered mothering mothers
mothproof mothproofed mothproofing mothproofs
motion motioned motioning motions
motivate motivated motivating motivates
motive motived motiving motives
motor motored motoring motors
motorbike motorbiked motorbiking motorbikes
motorcade motorcaded motorcading motorcades
motorcycle motorcycled motorcycling motorcycles
motorize motorized motorizing motorizes
mottle mottled mottling mottles
mould moulded moulding moulds
moulder mouldered mouldering moulders
moult moulted moulting moults
mound mounded mounding mounds
mount mounted mounting mounts
mountaineer mountaineered mountaineering mountaineers
mountebank mountebanked mountebanking mountebanks
mourn mourned mourning mourns
mouse moused mousing mouses
mousetrap mousetrapped mousetrapping mousetraps
mousse moussed moussing mousses
mouth mouthed mouthing mouths
move moved moving moves
muck mucked mucking mucks
muckrake muckraked muckraking muckrakes
mud mudded mudding muds
muddle muddled muddling muddles
muddy muddied muddying muddies
muff muffed muffing muffs
muffle muffled muffling muffles
mug mugged mugging mugs
mugger muggered muggering muggers
mulch mulched mulching mulches
mulct mulcted mulcting mulcts
mull mulled mulling mulls
mullion mullioned mullioning mullions
multiplex multiplexed multiplexing multiplexes
multiply multiplied multiplying multiplies
mum mummed mumming mums
mumble mumbled mumbling mumbles
mummify mummified mummifying mummifies
mummy mummied mummying mummies
munch munched munching munches
munition munitioned munitioning munitions
murder murdered murdering murders
murmur murmured murmuring murmurs
muscle muscled muscling muscles
muse mused musing muses
mush mushed mushing mushes
mushroom mushroomed mushrooming mushrooms
muss mussed mussing musses
mussitate mussitated mussitating mussitates
must musted musting musts
muster mustered mustering musters
mutate mutated mutating mutates
mute muted muting mutes
mutilate mutilated mutilating mutilates
mutiny mutinied mutinying mutinies
mutter muttered muttering mutters
muzzle muzzled muzzling muzzles
mystify mystified mystifying mystifies
mythologize mythologized mythologizing mythologizes
nab nabbed nabbing nabs
nag nagged nagging nags
nail nailed nailing nails
name named naming names
namedrop namedropped namedropping namedrops
nap napped napping naps
napalm napalmed napalming napalms
narcotize narcotized narcotizing narcotizes
nark narked narking narks
narrate narrated narrating narrates
narrow narrowed narrowing narrows
nasalise nasalised nasalising nasalises
nasalize nasalized nasalizing nasalizes
nationalize nationalized nationalizing nationalizes
natter nattered nattering natters
naturalize naturalized naturalizing naturalizes
nauseate nauseated nauseating nauseates
navigate navigated navigating navigates
near neared nearing nears
neaten neatened neatening neatens
necessitate necessitated necessitating necessitates
neck necked necking necks
necklace necklaced necklacing necklaces
necrose necrosed necrosing necroses
need needed needing needs
needle needled needling needles
negate negated negating negates
negative negatived negativing negatives
neglect neglected neglecting neglects
negotiate negotiated negotiating negotiates
neigh neighed neighing neighs
neighbor neighbored neighboring neighbors
neighbour neighboured neighbouring neighbours
nerve nerved nerving nerves
nest nested nesting nests
nestle nestled nestling nestles
net netted netting nets
nett netted netting netts
nettle nettled nettling nettles
network networked networking networks
neuter neutered neutering neuters
neutralize neutralized neutralizing neutralizes
nibble nibbled nibbling nibbles
niche niched niching niches
nick nicked nicking nicks
nicker nickered nickering nickers
nickname nicknamed nicknaming nicknames
nictate nictated nictating nictates
nictitate nictitated nictitating nictitates
nigger niggered niggering niggers
niggle niggled niggling niggles
nigh nighed nighing nighs
nightclub nightclubbed nightclubbing nightclubs
nigrify nigrified nigrifying nigrifies
nip nipped nipping nips
nitpick nitpicked nitpicking nitpicks
nitrate nitrated nitrating nitrates
nitrify nitrified nitrifying nitrifies
nix nixed nixing nixes
nobble nobbled nobbling nobbles
nock nocked nocking nocks
nod nodded nodding nods,
noise noised noising noises
nominate nominated nominating nominates
noodle noodled noodling noodles
noose noosed noosing nooses
normalize normalized normalizing normalizes
nose nosed nosing noses
nosh noshed noshing noshes
notarize notarized notarizing notarizes
notate notated notating notates
notch notched notching notches
note noted noting notes
notice noticed noticing notices
notify notified notifying notifies
nourish nourished nourishing nourishes
novelize novelized novelizing novelizes
nucleate nucleated nucleating nucleates
nudge nudged nudging nudges
nuke nuked nuking nukes
null nulled nulling nulls
nullify nullified nullifying nullifies
numb numbed numbing numbs
number numbered numbering numbers
numerate numerated numerating numerates
nurse nursed nursing nurses
nursemaid nursemaided nursemaiding nursemaids
nurture nurtured nurturing nurtures
nut nutted nutting nuts
nutate nutated nutating nutates
nuzzle nuzzled nuzzling nuzzles
oar oared oaring oars
obey obeyed obeying obeys
obfuscate obfuscated obfuscating obfuscates
object objected objecting objects
objectify objectified objectifying objectifies
objurgate objurgated objurgating objurgates
obligate obligated obligating obligates
oblige obliged obliging obliges
oblique obliqued obliquing obliques
obliterate obliterated obliterating obliterates
obscure obscured obscuring obscures
observe observed observing observes
obsess obsessed obsessing obsesses
obsolesce obsolesced obsolescing obsolesces
obsolete obsoleted obsoleting obsoletes
obstruct obstructed obstructing obstructs
obtain obtained obtaining obtains
obtrude obtruded obtruding obtrudes
obtund obtunded obtunding obtunds
obviate obviated obviating obviates
occasion occasioned occasioning occasions
occidentalize occidentalized occidentalizing occidentalizes
occlude occluded occluding occludes
occult occulted occulting occults
occupy occupied occupying occupies
occur occurred occurring occurs
ocher ochered ochering ochers
ochre ochred ochring ochres
odorize odorized odorizing odorizes
off offed offing offs
offend offended offending offends
offer offered offering offers
officer officered officering officers
officiate officiated officiating officiates
offload offloaded offloading offloads
offprint offprinted offprinting offprints
offsaddle offsaddled offsaddling offsaddles
offset offset offsetting offsets
ogle ogled ogling ogles
oil oiled oiling oils
oink oinked oinking oinks
okay okayed okaying okays
omen omened omening omens
omit omitted omitting omits
ooh oohed oohing oohs
ooze oozed oozing oozes
opalesce opalesced opalescing opalesces
opaque opaqued opaquing opaques
ope oped oping opes
open opened opening opens
operate operated operating operates
opiate opiated opiating opiates
opine opined opining opines
oppose opposed opposing opposes
oppress oppressed oppressing oppresses
oppugn oppugned oppugning oppugns
opt opted opting opts
optimize optimized optimizing optimizes
option optioned optioning options
orate orated orating orates
orb orbed orbing orbs
orbit orbited orbiting orbits
orchestrate orchestrated orchestrating orchestrates
ordain ordained ordaining ordains
order ordered ordering orders
organise organised organising organises
organize organized organizing organizes
orgasm orgasmed orgasming orgasms
orient oriented orienting orients
orientalize orientalized orientalizing orientalizes
orientate orientated orientating orientates
originate originated originating originates
ornament ornamented ornamenting ornaments
orphan orphaned orphaning orphans
oscillate oscillated oscillating oscillates
osculate osculated osculating osculates
ossify ossified ossifying ossifies
ostracise ostracised ostracising ostracises
ostracize ostracized ostracizing ostracizes
ouch ouched ouching ouches
ought oughted oughting oughts
oust ousted ousting ousts
out outed outing outs
outargue outargued outarguing outargues
outbalance outbalanced outbalancing outbalances
outbid outbid outbid, 2
outboast outboasted outboasting outboasts
outbrave outbraved outbraving outbraves
outclass outclassed outclassing outclasses
outcrop outcropped outcropping outcrops
outcry outcried outcrying outcries
outdistance outdistanced outdistancing outdistances
outdo outdid outdone outdoing
outdraw outdrew outdrawn outdrawing
outface outfaced outfacing outfaces
outfight outfought outfighting outfights
outflank outflanked outflanking outflanks
outfox outfoxed outfoxing outfoxes
outgrow outgrew outgrown outgrowing
outguess outguessed outguessing outguesses
outhit outhit outhitting outhits
outlast outlasted outlasting outlasts
outlaw outlawed outlawing outlaws
outlay outlaid outlaying outlays
outline outlined outlining outlines
outlive outlived outliving outlives
outmaneuver outmaneuvered outmaneuvering outmaneuvers
outmanoeuvre outmanoeuvred outmanoeuvring outmanoeuvres
outmarch outmarched outmarching outmarches
outmatch outmatched outmatching outmatches
outmode outmoded outmoding outmodes
outnumber outnumbered outnumbering outnumbers
outpace outpaced outpacing outpaces
outperform outperformed outperforming outperforms
outplay outplayed outplaying outplays
outpoint outpointed outpointing outpoints
outproduce outproduced outproducing outproduces
outrace outraced outracing outraces
outrage outraged outraging outrages
outrange outranged outranging outranges
outrank outranked outranking outranks
outreach outreached outreaching outreaches
outride outrode outridden outriding
outroar outroared outroaring outroars
outrun outran outrun outrunning
outsail outsailed outsailing outsails
outscore outscored outscoring outscores
outsell outsold outselling outsells
outshout outshouted outshouting outshouts
outsmart outsmarted outsmarting outsmarts
outsource outsourced outsourcing outsources
outspan outspanned outspanning outspans
outspend outspent outspending outspends
outspread outspread outspreading outspreads
outstay outstayed outstaying outstays
outstretch outstretched outstretching outstretches
outvie outvied outvying outvies
outvote outvoted outvoting outvotes
outwear outwore outworn outwearing
outweigh outweighed outweighing outweighs
outwit outwitted outwitting outwits
outwork outworked, 2 outworking
overachieve overachieved overachieving overachieves
overact overacted overacting overacts
overarch overarched overarching overarches
overarm overarmed overarming overarms
overawe overawed overawing overawes
overbalance overbalanced overbalancing overbalances
overbear overbore overborne, 2
overbid overbid overbid, 2
overboil overboiled overboiling overboils
overbook overbooked overbooking overbooks
overbuild overbuilt overbuilding overbuilds
overburden overburdened overburdening overburdens
overbuy overbought overbuying overbuys
overcapitalize overcapitalized overcapitalizing overcapitalizes
overcharge overcharged overcharging overcharges
overcloud overclouded overclouding overclouds
overcoat overcoated overcoating overcoats
overcome overcame overcome overcoming
overcompensate overcompensated overcompensating overcompensates
overcook overcooked overcooking overcooks
overcrop overcropped overcropping overcrops
overcrowd overcrowded overcrowding overcrowds
overdecorate overdecorated overdecorating overdecorates
overdevelop overdeveloped overdeveloping overdevelops
overdo overdid overdone overdoing
overdose overdosed overdosing overdoses
overdramatize overdramatized overdramatizing overdramatizes
overdraw overdrew overdrawn overdrawing
overdress overdressed overdressing overdresses
overdrive overdrove overdriven overdriving
overdub overdubbed overdubbing overdubs
overeat overate overeaten overeating
overemphasize overemphasized overemphasizing overemphasizes
overestimate overestimated overestimating overestimates
overexcite overexcited overexciting overexcites
overexercise overexercised overexercising overexercises
overexert overexerted overexerting overexerts
overexpose overexposed overexposing overexposes
overextend overextended overextending overextends
overfeed overfed overfeeding overfeeds
overfill overfilled overfilling overfills
overflow overflowed overflowing overflows
overfly overflew overflown overflying
overgeneralize overgeneralized overgeneralizing overgeneralizes
overgraze overgrazed overgrazing overgrazes
overgrow overgrew overgrown overgrowing
overhand overhanded overhanding overhands
overhang overhung overhanging overhangs
overhaul overhauled overhauling overhauls
overhear overheard overhearing overhears
overheat overheated overheating overheats
overindulge overindulged overindulging overindulges
overjoy overjoyed overjoying overjoys
overlap overlapped overlapping overlaps
overlay overlaid overlaying overlays
overlie overlay overlain overlying
overload overloaded overloading overloads
overlook overlooked overlooking overlooks
overlord overlorded overlording overlords
overmaster overmastered overmastering overmasters
overnight overnighted overnighting overnights
overpay overpaid overpaying overpays
overplay overplayed overplaying overplays
overpopulate overpopulated overpopulating overpopulates
overpower overpowered overpowering overpowers
overpraise overpraised overpraising overpraises
overprice overpriced overpricing overprices
overprint overprinted overprinting overprints
overproduce overproduced overproducing overproduces
overprotect overprotected overprotecting overprotects
overrate overrated overrating overrates
overreach overreached overreaching overreaches
overreact overreacted overreacting overreacts
override overrode overridden overriding
overrule overruled overruling overrules
overrun overran overrun overrunning
oversee oversaw overseen overseeing
oversell oversold overselling oversells
overshadow overshadowed overshadowing overshadows
overshoot overshot overshooting overshoots
oversimplify oversimplified oversimplifying oversimplifies
oversleep overslept oversleeping oversleeps
overspecialize overspecialized overspecializing overspecializes
overspend overspent overspending overspends
overspread overspread overspreading overspreads
overstate overstated overstating overstates
overstay overstayed overstaying overstays
overstep overstepped overstepping oversteps
overstimulate overstimulated overstimulating overstimulates
overstock overstocked overstocking overstocks
overstrain overstrained overstraining overstrains
overstress overstressed overstressing overstresses
overstretch overstretched overstretching overstretches
overstuff overstuffed overstuffing overstuffs
oversubscribe oversubscribed oversubscribing oversubscribes
oversupply oversupplied oversupplying oversupplies
overtake overtook overtaken overtaking
overtax overtaxed overtaxing overtaxes
overthrow overthrew overthrown overthrowing
overtime overtimed overtiming overtimes
overtire overtired overtiring overtires
overtop overtopped overtopping overtops
overtrump overtrumped overtrumping overtrumps
overture overtured overturing overtures
overturn overturned overturning overturns
overuse overused overusing overuses
overvalue overvalued overvaluing overvalues
overweary overwearied overwearying overwearies
overweight overweighted overweighting overweights
overwhelm overwhelmed overwhelming overwhelms
overwinter overwintered overwintering overwinters
overwork overworked, 2 overworking
overwrite overwrote overwritten overwriting
ovulate ovulated ovulating ovulates
owe owed owing owes
owl owled owling owls
own owned owning owns
oxidise oxidised oxidising oxidises
oxidize oxidized oxidizing oxidizes
oxygenate oxygenated oxygenating oxygenates
oxygenize oxygenized oxygenizing oxygenizes
oyster oystered oystering oysters
pace paced pacing paces
pacify pacified pacifying pacifies
pack packed packing packs
package packaged packaging packages
packet packeted packeting packets
pad padded padding pads
paddle paddled paddling paddles
paddock paddocked paddocking paddocks
padlock padlocked padlocking padlocks
page paged paging pages
paginate paginated paginating paginates
pain pained paining pains
paint painted painting paints
pair paired pairing pairs
pal palled, 2 palling,
palatalise palatalised palatalising palatalises
palatalize palatalized palatalizing palatalizes
palaver palavered palavering palavers
pale paled paling pales
palisade palisaded palisading palisades
pall palled palling palls
palliate palliated palliating palliates
palm palmed palming palms
palpate palpated palpating palpates
palpitate palpitated palpitating palpitates
palsy palsied palsying palsies
palter paltered paltering palters
pamper pampered pampering pampers
pamphlet pamphleted pamphleting pamphlets
pamphleteer pamphleteered pamphleteering pamphleteers
pancake pancaked pancaking pancakes
pander pandered pandering panders
panhandle panhandled panhandling panhandles
panic panicked panicking panics
pant panted panting pants
pantomime pantomimed pantomiming pantomimes
paper papered papering papers
parachute parachuted parachuting parachutes
parade paraded parading parades
paraffin paraffined paraffining paraffins
paragon paragoned paragoning paragons
paragraph paragraphed paragraphing paragraphs
parallelize parallelized parallelizing parallelizes
paralyse paralysed paralysing paralyses
paralyze paralyzed paralyzing paralyzes
paraphrase paraphrased paraphrasing paraphrases
parboil parboiled parboiling parboils
parch parched parching parches
pardon pardoned pardoning pardons
pare pared paring pares
parent parented parenting parents
parenthesize parenthesized parenthesizing parenthesizes
park parked parking parks
parlay parlayed parlaying parlays
parley parleyed parleying parleys
parody parodied parodying parodies
parole paroled paroling paroles
parquet parqueted, 2 parqueting,
parrot parroted parroting parrots
parry parried parrying parries
parse parsed parsing parses
part parted parting parts
partake partook partaken partaking
participate participated participating participates
particularize particularized particularizing particularizes
partition partitioned partitioning partitions
partner partnered partnering partners
party partied partying parties
pass passed passing passes
passage passaged passaging passages
paste pasted pasting pastes
pasteurize pasteurized pasteurizing pasteurizes
pastor pastored pastoring pastors
pasture pastured pasturing pastures
patch patched patching patches
patent patented patenting patents
patinate patinated patinating patinates
patinize patinized patinizing patinizes
patrol patrolled patrolling patrols
patronize patronized patronizing patronizes
patter pattered pattering patters
pattern patterned patterning patterns
pauper paupered paupering paupers
pauperize pauperized pauperizing pauperizes
pause paused pausing pauses
pave paved, 2 paving
pavilion pavilioned pavilioning pavilions
paw pawed pawing paws
pawn pawned pawning pawns
pay paid, {slacken} paying
peace peaced peacing peaces
peach peached peaching peaches
peacock peacocked peacocking peacocks
peak peaked peaking peaks
peal pealed pealing peals
pearl pearled pearling pearls
pebble pebbled pebbling pebbles
peck pecked pecking pecks
peculate peculated peculating peculates
peddle peddled peddling peddles
pedestrianize pedestrianized pedestrianizing pedestrianizes
pedicure pedicured pedicuring pedicures
pee peed peeing pees
peek peeked peeking peeks
peel peeled peeling peels
peen peened peening peens
peep peeped peeping peeps
peer peered peering peers
peeve peeved peeving peeves
peg pegged pegging pegs
pelt pelted pelting pelts
pen penned pent {enclose},
penalize penalized penalizing penalizes
pend pended pending pends
penetrate penetrated penetrating penetrates
pension pensioned pensioning pensions
people peopled peopling peoples
pep pepped pepping peps
pepper peppered peppering peppers
peptize peptized peptizing peptizes
perambulate perambulated perambulating perambulates
perceive perceived perceiving perceives
perch perched perching perches
percolate percolated percolating percolates
peregrinate peregrinated peregrinating peregrinates
perennate perennated perennating perennates
perfect perfected perfecting perfects
perforate perforated perforating perforates
perform performed performing performs
perfume perfumed perfuming perfumes
perfuse perfused perfusing perfuses
perish perished perishing perishes
perjure perjured perjuring perjures
perk perked perking perks
perm permed perming perms
permeate permeated permeating permeates
permit permitted permitting permits
permute permuted permuting permutes
perorate perorated perorating perorates
peroxide peroxided peroxiding peroxides
perpetrate perpetrated perpetrating perpetrates
perpetuate perpetuated perpetuating perpetuates
perplex perplexed perplexing perplexes
persecute persecuted persecuting persecutes
persevere persevered persevering perseveres
persist persisted persisting persists
personalize personalized personalizing personalizes
personate personated personating personates
personify personified personifying personifies
perspire perspired perspiring perspires
persuade persuaded persuading persuades
pertain pertained pertaining pertains
perturb perturbed perturbing perturbs
peruse perused perusing peruses
pervade pervaded pervading pervades
pervert perverted perverting perverts
pester pestered pestering pesters
pestle pestled pestling pestles
pet petted petting pets
peter petered petering peters
petition petitioned petitioning petitions
petrify petrified petrifying petrifies
petrol petrolled petrolling petrols
pettifog pettifogged pettifogging pettifogs
phantasy phantasied phantasying phantasies
phase phased phasing phases
philander philandered philandering philanders
philosophise philosophised philosophising philosophises
philosophize philosophized philosophizing philosophizes
philter philtered philtering philters
philtre philtred philtring philtres
phlebotomize phlebotomized phlebotomizing phlebotomizes
phone phoned phoning phones
phoney phoneyed phoneying phoneys
phony phonied phonying phonies
photo photoed photoing photos
photocopy photocopied photocopying photocopies
photoengrave photoengraved photoengraving photoengraves
photograph photographed photographing photographs
photosensitize photosensitized photosensitizing photosensitizes
photosynthesize photosynthesized photosynthesizing photosynthesizes
phrase phrased phrasing phrases
physic physicked physicking physics
pi pied piing pies
pick picked picking picks
pickax pickaxed pickaxing pickaxes
pickaxe pickaxed pickaxing pickaxes
picket picketed picketing pickets
pickle pickled pickling pickles
picnic picnicked picnicking picnics
picture pictured picturing pictures
piddle piddled piddling piddles
pie pied pieing pies
piece pieced piecing pieces
pierce pierced piercing pierces
piffle piffled piffling piffles
pig pigged pigging pigs
pigeonhole pigeonholed pigeonholing pigeonholes
piggyback piggybacked piggybacking piggybacks
pigment pigmented pigmenting pigments
pike piked piking pikes
pile piled piling piles
pilfer pilfered pilfering pilfers
pilgrimage pilgrimaged pilgrimaging pilgrimages
pill pilled pilling pills
pillage pillaged pillaging pillages
pillar pillared pillaring pillars
pillory pilloried pillorying pillories
pillow pillowed pillowing pillows
pilot piloted piloting pilots
pimp pimped pimping pimps
pincer pincered pincering pincers
pinch pinched pinching pinches
pine pined pining pines
ping pinged pinging pings
pinion pinioned pinioning pinions
pink pinked pinking pinks
pinnacle pinnacled pinnacling pinnacles
pinpoint pinpointed pinpointing pinpoints
pinwheel pinwheeled pinwheeling pinwheels
pioneer pioneered pioneering pioneers
pipe piped piping pipes
pipeline pipelined pipelining pipelines
pipette pipetted pipetting pipettes
pique piqued piquing piques
pirate pirated pirating pirates
pirouette pirouetted pirouetting pirouettes
piss pissed pissing pisses
pit pitted pitting pits
pitapat pitapatted pitapatting pitapats
pitch pitched pitching pitches
pitchfork pitchforked pitchforking pitchforks
pith pithed pithing piths
pity pitied pitying pities
pivot pivoted pivoting pivots
placard placarded placarding placards
placate placated placating placates
place placed placing places
placekick placekicked placekicking placekicks
plagiarise plagiarised plagiarising plagiarises
plagiarize plagiarized plagiarizing plagiarizes
plague plagued plaguing plagues
plain plained plaining plains
plait plaited plaiting plaits
plane planed planing planes
plank planked planking planks
plant planted planting plants
plash plashed plashing plashes
plaster plastered plastering plasters
plasticize plasticized plasticizing plasticizes
plate plated plating plates
plateau plateaued plateauing plateaus
platform platformed platforming platforms
platoon platooned platooning platoons
play played playing plays
playact playacted playacting playacts
pleach pleached pleaching pleaches
please pleased pleasing pleases
pleasure pleasured pleasuring pleasures
pleat pleated pleating pleats
pledge pledged pledging pledges
plight plighted plighting plights
plod plodded plodding plods
plonk plonked plonking plonks
plop plopped plopping plops
plot plotted plotting plots
plough ploughed ploughing ploughs
plow plowed plowing plows
ploy ployed ploying ploys
pluck plucked plucking plucks
plug plugged plugging plugs
plumb plumbed plumbing plumbs
plume plumed pluming plumes
plummet plummeted plummeting plummets
plump plumped plumping plumps
plunder plundered plundering plunders
plunge plunged plunging plunges
plunk plunked plunking plunks
pluralize pluralized pluralizing pluralizes
ply plied plying plies
poach poached poaching poaches
pock pocked pocking pocks
pocket pocketed pocketing pockets
pockmark pockmarked pockmarking pockmarks
pod podded podding pods
poetize poetized poetizing poetizes
point pointed pointing points
poise poised poising poises
poison poisoned poisoning poisons
poke poked poking pokes
polarize polarized polarizing polarizes
pole poled poling poles
poleax poleaxed poleaxing poleaxes
poleaxe poleaxed poleaxing poleaxes
polemicize polemicized polemicizing polemicizes
polemize polemized polemizing polemizes
police policed policing polices
polish polished polishing polishes
politicize politicized politicizing politicizes
politick politicked politicking politicks
polka polkaed polkaing polkas
poll polled polling polls
pollard pollarded pollarding pollards
pollen pollened pollening pollens
pollinate pollinated pollinating pollinates
pollute polluted polluting pollutes
polychrome polychromed polychroming polychromes
polygraph polygraphed polygraphing polygraphs
polymerize polymerized polymerizing polymerizes
pomade pomaded pomading pomades
pond ponded ponding ponds
ponder pondered pondering ponders
poniard poniarded poniarding poniards
pontificate pontificated pontificating pontificates
pony ponied ponying ponies
pooch pooched pooching pooches
pooh poohed poohing poohs
pool pooled pooling pools
poop pooped pooping poops
pop popped popping pops
popularize popularized popularizing popularizes
populate populated populating populates
pore pored poring pores
porpoise porpoised porpoising porpoises
port ported porting ports
portage portaged portaging portages
portend portended portending portends
portion portioned portioning portions
portray portrayed portraying portrays
pose posed posing poses
posit posited positing posits
position positioned positioning positions
possess possessed possessing possesses
post posted posting posts
postcard postcarded postcarding postcards
postdate postdated postdating postdates
postmark postmarked postmarking postmarks
postpone postponed postponing postpones
postulate postulated postulating postulates
posture postured posturing postures
pother pothered pothering pothers
potter pottered pottering potters
pouch pouched pouching pouches
poultice poulticed poulticing poultices
pounce pounced pouncing pounces
pound pounded pounding pounds
pour poured pouring pours
pout pouted pouting pouts
powder powdered powdering powders
power powered powering powers
powwow powwowed powwowing powwows
practice practiced practicing practices
practise practised practising practises
praise praised praising praises
prance pranced prancing prances
prank pranked pranking pranks
prate prated prating prates
prattle prattled prattling prattles
prawn prawned prawning prawns
pray prayed praying prays
preach preached preaching preaches
preachify preachified preachifying preachifies
preamble preambled preambling preambles
prearrange prearranged prearranging prearranges
precaution precautioned precautioning precautions
precede preceded preceding precedes
precess precessed precessing precesses
precipitate precipitated precipitating precipitates
precis precised precising precises
preclude precluded precluding precludes
preconceive preconceived preconceiving preconceives
precondition preconditioned preconditioning preconditions
precook precooked precooking precooks
predate predated predating predates
predecease predeceased predeceasing predeceases
predesignate predesignated predesignating predesignates
predestinate predestinated predestinating predestinates
predestine predestined predestining predestines
predetermine predetermined predetermining predetermines
predicate predicated predicating predicates
predict predicted predicting predicts
predigest predigested predigesting predigests
predispose predisposed predisposing predisposes
predominate predominated predominating predominates
preempt preempted preempting preempts
preen preened preening preens
preexist preexisted preexisting preexists
prefab prefabbed prefabbing prefabs
prefabricate prefabricated prefabricating prefabricates
preface prefaced prefacing prefaces
prefer preferred preferring prefers
prefigure prefigured prefiguring prefigures
prefix prefixed prefixing prefixes
preform preformed preforming preforms
preheat preheated preheating preheats
prehend prehended prehending prehends
prejudge prejudged prejudging prejudges
prejudice prejudiced prejudicing prejudices
prelude preluded preluding preludes
premeditate premeditated premeditating premeditates
